mu,qid,nDCG_R1,nDCG_R2
100.0,32.0,0.2839494431967705,0.2839494431967705
100.0,33.0,0.7196372486008927,0.7243556455160098
100.0,34.0,0.4290419356995601,0.4290419356995601
100.0,35.0,0.6547236405838422,0.6428627384628842
100.0,36.0,0.9767514386170004,0.9780740439803
100.0,37.0,0.7783355860841272,0.7962893397246382
100.0,38.0,0.9453382783356529,0.943164154097805
100.0,39.0,0.9664697328709919,0.9664697328709919
100.0,40.0,0.8378654121803345,0.8139056871741042
10000.0,1.0,0.8494825923273701,0.8494825923273701
10000.0,2.0,0.8386097778490234,0.8170413691360552
10000.0,3.0,0.7450699587364089,0.7450699587364089
10000.0,4.0,0.258571946020557,0.2521455926295936
10000.0,5.0,0.6405421740852179,0.6213153753845675
10000.0,6.0,0.930755340365074,0.9309886861695472
10000.0,7.0,0.9227143791941935,0.928747427628334
10000.0,8.0,0.38097179678159365,0.38097179678159365
10000.0,9.0,0.0,0.0
10000.0,10.0,0.7636427885493036,0.7636427885493036
10000.0,11.0,0.6434934478653405,0.6566543777061488
10000.0,12.0,0.7163354759146194,0.7163354759146194
10000.0,13.0,0.4712158757199133,0.4712158757199133
10000.0,14.0,0.7961704742579286,0.7976933312139489
10000.0,15.0,0.5476189171816498,0.5476189171816498
10000.0,16.0,0.7540399252595049,0.7439810543504941
10000.0,17.0,0.8587638175621073,0.8587638175621073
10000.0,18.0,0.9335198931862577,0.9325529953165735
10000.0,19.0,0.6549040069641665,0.6242703032165945
10000.0,20.0,0.9638484118620525,0.9640857058578316
10000.0,21.0,0.8107292573564864,0.8107292573564864
10000.0,22.0,0.8945673833578301,0.8945673833578301
10000.0,23.0,0.8867425490269842,0.8867425490269842
10000.0,24.0,0.9262396477257202,0.9262396477257202
10000.0,25.0,0.8064743389481204,0.8064743389481204
10000.0,26.0,0.8503490718309931,0.8503490718309931
10000.0,27.0,0.9346405348760981,0.9346405348760981
10000.0,28.0,0.9485219993863947,0.9485219993863947
10000.0,29.0,0.8236811371043867,0.8185711958035338
10000.0,30.0,0.8775466493877923,0.8775466493877923
10000.0,31.0,0.33109696328920446,0.3323178439306309
10000.0,32.0,0.2831359650940484,0.2831359650940484
10000.0,33.0,0.7177824459678155,0.712632829718185
10000.0,34.0,0.43219508308941346,0.43219508308941346
10000.0,35.0,0.6444980142374035,0.6405326085530261
10000.0,36.0,0.9786171245267766,0.9786171245267766
10000.0,37.0,0.8112713798621516,0.8112713798621516
10000.0,38.0,0.9453382783356529,0.9468113996250626
10000.0,39.0,0.9719256914255926,0.9719256914255926
10000.0,40.0,0.77946921434018,0.77946921434018
0.1,1.0,0.8364713928251899,0.846477270825273
0.1,2.0,0.8506106366965265,0.8339484143213429
0.1,3.0,0.7459413854057952,0.7435586343418025
0.1,4.0,0.2781660798461999,0.27142937711121645
0.1,5.0,0.6229391993282486,0.6294008319792094
0.1,6.0,0.9241256794184907,0.930755340365074
