alpha,beta,gamma,nDCG
2.0,0.4,0.2,0.7066478309195456
2.0,0.5,0.0,0.7061875638472614
2.0,0.5,0.05,0.7066967989655536
2.0,0.5,0.1,0.7065108959163388
2.0,0.5,0.15,0.7068714848319496
2.0,0.5,0.2,0.7066076436166625
2.0,0.75,0.0,0.7052814707313971
2.0,0.75,0.05,0.705357448193507
2.0,0.75,0.1,0.7055582492060344
2.0,0.75,0.15,0.7054844932037984
2.0,0.75,0.2,0.7056757204792057
2.0,1.0,0.0,0.70494878292703
2.0,1.0,0.05,0.7049951255857062
2.0,1.0,0.1,0.7050077075800055
2.0,1.0,0.15,0.7051559569011617
2.0,1.0,0.2,0.7051472937443427
2.0,1.25,0.0,0.7046391671923299
2.0,1.25,0.05,0.7047735694816473
2.0,1.25,0.1,0.7047017981816158
2.0,1.25,0.15,0.7045709992864683
2.0,1.25,0.2,0.7053722572196774
