alpha,beta,gamma,qid,nDCG
0.5,0.25,0.1,31.0,0.31852311913419235
0.5,0.25,0.1,32.0,0.2999576088737847
0.5,0.25,0.1,33.0,0.7693286467216041
0.5,0.25,0.1,34.0,0.42033638943720114
0.5,0.25,0.1,35.0,0.664075825899134
0.5,0.25,0.1,36.0,0.9742262507901295
0.5,0.25,0.1,37.0,0.8262116946786094
0.5,0.25,0.1,38.0,0.9758798583780006
0.5,0.25,0.1,39.0,0.9815717021505374
0.5,0.25,0.1,40.0,0.774646787234844
0.5,0.25,0.15,1.0,0.8034436826283043
0.5,0.25,0.15,2.0,0.5136458639046038
0.5,0.25,0.15,3.0,0.739079779505807
0.5,0.25,0.15,4.0,0.2479824481721596
0.5,0.25,0.15,5.0,0.6824132629904405
0.5,0.25,0.15,6.0,0.9453404496305926
0.5,0.25,0.15,7.0,0.8922282414886852
0.5,0.25,0.15,8.0,0.38097179678159365
0.5,0.25,0.15,9.0,0.0
0.5,0.25,0.15,10.0,0.691354829246736
0.5,0.25,0.15,11.0,0.530722340092495
0.5,0.25,0.15,12.0,0.7041227889609777
0.5,0.25,0.15,13.0,0.5394244931608185
0.5,0.25,0.15,14.0,0.7625672828177001
0.5,0.25,0.15,15.0,0.6057980017897457
0.5,0.25,0.15,16.0,0.4908262683880194
0.5,0.25,0.15,17.0,0.796452963001205
0.5,0.25,0.15,18.0,0.8309431114401397
0.5,0.25,0.15,19.0,0.6303388921082553
0.5,0.25,0.15,20.0,0.9505622581599834
0.5,0.25,0.15,21.0,0.6670929412602175
0.5,0.25,0.15,22.0,0.8931507318250613
0.5,0.25,0.15,23.0,0.8583871826111961
0.5,0.25,0.15,24.0,0.9455472531875546
0.5,0.25,0.15,25.0,0.7079193296199305
0.5,0.25,0.15,26.0,0.7690240071594963
0.5,0.25,0.15,27.0,0.91839344725553
0.5,0.25,0.15,28.0,0.9188132173779523
0.5,0.25,0.15,29.0,0.8719103546858576
0.5,0.25,0.15,30.0,0.9238240979316906
0.5,0.25,0.15,31.0,0.31852311913419235
0.5,0.25,0.15,32.0,0.2968888426763954
0.5,0.25,0.15,33.0,0.7682020819686366
0.5,0.25,0.15,34.0,0.4230745690253238
0.5,0.25,0.15,35.0,0.6636830619850075
0.5,0.25,0.15,36.0,0.9749845644566845
0.5,0.25,0.15,37.0,0.8213341334517955
0.5,0.25,0.15,38.0,0.9758593799518908
0.5,0.25,0.15,39.0,0.9817253398282797
0.5,0.25,0.15,40.0,0.7789757751728963
0.5,0.25,0.2,1.0,0.8059947791914148
0.5,0.25,0.2,2.0,0.5135324497340159
